DataSessao;2023-05-16

PEC 162/2019
Altera a redação do inciso VIII-A do caput do art. 93 da Constituição Federal, para permitir a permuta entre juízes de direito vinculados a diferentes tribunais.
Votação nominal da PEC nº 162/2019, nos termos do Parecer, com adequação redacional de Plenário (1º Turno).

Secreta;Não

Votos
Votos Sim;67
Votos Não;0
Abstenção;0
Não Compareceu;0
Votos do Presidente;1
PNRV;4
Total;72

Resultado;Aprovada
Orientação do Governo;SIM

Parlamentar;Partido;UF;Voto
Jader Barbalho;MDB;PA;AP
Renan Calheiros;MDB;AL;Sim
Confúcio Moura;MDB;RO;Sim
Marcelo Castro;MDB;PI;Sim
Eduardo Braga;MDB;AM;P-NRV
Veneziano Vital do Rêgo;MDB;PB;Sim
Fernando Dueire;MDB;PE;Sim
Giordano;MDB;SP;Sim
Ivete da Silveira;MDB;SC;LS
Fernando Farias;MDB;AL;Sim
Eduardo Girão;NOVO;CE;Sim
Weverton;PDT;MA;Sim
Cid Gomes;PDT;CE;AP
Leila Barros;PDT;DF;Sim
Magno Malta;PL;ES;Sim
Wellington Fagundes;PL;MT;Sim
Eduardo Gomes;PL;TO;Sim
Zequinha Marinho;PL;PA;Sim
Rogerio Marinho;PL;RN;Sim
Wilder Morais;PL;GO;Sim
Romário;PL;RJ;AP
Flávio Bolsonaro;PL;RJ;Sim
Carlos Portinho;PL;RJ;LS
Astronauta Marcos Pontes;PL;SP;MIS
Jaime Bagattoli;PL;RO;Sim
Jorge Seif;PL;SC;Sim
Oriovisto Guimarães;PODEMOS;PR;Sim
Marcos do Val;PODEMOS;ES;Sim
Styvenson Valentim;PODEMOS;RN;P-NRV
Carlos Viana;PODEMOS;MG;Sim
Esperidião Amin;PP;SC;Sim
Ciro Nogueira;PP;PI;Sim
Luis Carlos Heinze;PP;RS;Sim
Laércio Oliveira;PP;SE;Sim
Tereza Cristina;PP;MS;Sim
Dr. Hiran;PP;RR;Sim
Flávio Arns;PSB;PR;Sim
Chico Rodrigues;PSB;RR;Sim
Jorge Kajuru;PSB;GO;Sim
Ana Paula Lobato;PSB;MA;Sim
Sérgio Petecão;PSD;AC;Sim
Mara Gabrilli;PSD;SP;Sim
Irajá;PSD;TO;Sim
Otto Alencar;PSD;BA;Sim
Omar Aziz;PSD;AM;Sim
Eliziane Gama;PSD;MA;Sim
Rodrigo Pacheco;PSD;MG;Presidente (art. 51 RISF)
Zenaide Maia;PSD;RN;Sim
Vanderlan Cardoso;PSD;GO;P-NRV
Lucas Barreto;PSD;AP;Sim
Angelo Coronel;PSD;BA;Sim
Nelsinho Trad;PSD;MS;Sim
Daniella Ribeiro;PSD;PB;Sim
Dr. Samuel Araújo;PSD;RO;LS
Margareth Buzetti;PSD;MT;Sim
Jussara Lima;PSD;PI;Sim
Izalci Lucas;PSDB;DF;Sim
Plínio Valério;PSDB;AM;Sim
Alessandro Vieira;PSDB;SE;Sim
Jaques Wagner;PT;BA;Sim
Paulo Paim;PT;RS;Sim
Beto Faro;PT;PA;Sim
Humberto Costa;PT;PE;AP
Rogério Carvalho;PT;SE;Sim
Fabiano Contarato;PT;ES;Sim
Teresa Leitão;PT;PE;Sim
Augusta Brito;PT;CE;Sim
Randolfe Rodrigues;REDE;AP;Sim
Mecias de Jesus;REPUBLICANOS;RR;Sim
Damares Alves;REPUBLICANOS;DF;Sim
Cleitinho;REPUBLICANOS;MG;Sim
Hamilton Mourão;REPUBLICANOS;RS;Sim
Marcio Bittar;UNIÃO;AC;P-NRV
Davi Alcolumbre;UNIÃO;AP;Sim
Jayme Campos;UNIÃO;MT;Sim
Efraim Filho;UNIÃO;PB;Sim
Professora Dorinha Seabra;UNIÃO;TO;Sim
Alan Rick;UNIÃO;AC;Sim
Rodrigo Cunha;UNIÃO;AL;Sim
Soraya Thronicke;UNIÃO;MS;LS
Sergio Moro;UNIÃO;PR;Sim
