Comissão de Constituição, Justiça e Cidadania
2024-05-08T09:55:00

Projeto de Lei n° 1958, de 2021
Sem ementa
Emenda nº 14-S ao Substitutivo oferecido ao PL 1958/2021

Votos
QuantidadesDeVotosSim;11
QuantidadesDeVotosNAO;12
Abstenção;0
Total;23

NomeParlamentar;SiglaPartidoParlamentar;QualidadeVoto
Renan Calheiros;MDB;N
Alessandro Vieira;MDB;N
Marcelo Castro;MDB;N
Weverton;PDT;N
Ana Paula Lobato;PDT;N
Flávio Bolsonaro;PL;S
Carlos Portinho;PL;S
Marcos Rogério;PL;S
Rogerio Marinho;PL;S
Oriovisto Guimarães;PODEMOS;S
Esperidião Amin;PP;S
Angelo Coronel;PSD;N
Otto Alencar;PSD;N
Eliziane Gama;PSD;N
Lucas Barreto;PSD;S
Plínio Valério;PSDB;S
Humberto Costa;PT;N
Fabiano Contarato;PT;N
Jaques Wagner;PT;N
Janaína Farias;PT;N
Mecias de Jesus;REPUBLICANOS;S
Hamilton Mourão;REPUBLICANOS;S
Sergio Moro;UNIÃO;S
